管型,老化地点,老化时长,通水条件,Et_MPa,Et_MPa,Et_MPa,sy_MPa,sy_MPa,sy_MPa,ey_pct,ey_pct,ey_pct,sb_MPa,sb_MPa,sb_MPa,断裂伸长率_pct,断裂伸长率_pct,断裂伸长率_pct,屈服韧性_MJ_m3,屈服韧性_MJ_m3,屈服韧性_MJ_m3,断裂韧性_MJ_m3,断裂韧性_MJ_m3,断裂韧性_MJ_m3
,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
单层,原始,0个月,无,1048.393412573433,38.059218033409444,5,24.62398292454825,0.6424210939156011,5,8.911834382382807,0.33461621805423686,5,28.33815284586775,0.31619854944879855,5,385.17150059569065,7.41983541342654,5,1.676792315969124,0.11043714493207422,5,74.54193159638137,1.3698673631025342,5
单层,新疆,1个月,无,1079.7919577440039,11.390508286224797,5,25.772140322785162,0.29471009373729934,5,11.564984836719992,1.04844430756571,5,26.381436027391242,5.641622863321758,5,389.77018078814564,25.545855376747635,5,2.372731950241472,0.260067347522009,5,78.00911856787282,7.780918133058095,5
单层,陆河,3个月,不通水,926.7427463430043,33.05850018388826,5,23.71100845820717,0.6164229600406906,5,9.071239945237274,0.12125704323822357,5,20.109504268056924,3.4547929130124984,5,338.87420507170435,37.73831451472466,5,1.623819221144014,0.06851826596262633,5,59.05700788759295,8.035693808069537,5
单层,陆河,3个月,通水,809.6899420066841,31.250943301693862,5,18.947520501035466,0.2137368665167932,5,9.004383621279228,0.2637704955536084,5,24.81594885480265,0.4441054563273195,5,377.39880341982536,14.786823342482426,5,1.3120070729372901,0.038829223391303506,5,65.15111428648434,4.124651917225214,5
单层,陆河,6个月,不通水,1012.8205288665933,38.07466209748132,5,24.104575437751038,0.5510676998240925,5,8.707174324774499,0.15280298116848798,5,16.194237634198714,3.8352938183797067,5,285.7434775262485,61.91581359792737,5,1.5849438354039986,0.06857607443484824,5,48.38697557209788,10.590310500284147,5
单层,陆河,6个月,通水,909.3983897423117,35.094613496822916,5,20.32934942203797,0.7942916120483222,5,9.052321091601108,0.3082186786833198,5,25.765037551593867,0.7494005286304208,5,405.76220593536476,11.353798077362534,5,1.4207092157475245,0.09489874495323475,5,71.27568487780326,3.6485924882426106,5
双层,原始,0个月,无,922.1880826136028,20.901791830632092,5,20.379120902151776,0.4613567965396636,5,8.22939212434214,0.3157395873423867,5,27.42309852116797,0.9644148781167058,5,384.01629230201854,13.805073638397163,5,1.2819074394577812,0.08212662741531401,5,70.32478622812064,3.499111824926263,5
双层,新疆,1个月,无,873.1858004741283,27.197306383227524,5,19.57032498434531,0.6560551251233536,5,9.199219137387411,0.21984596955527172,5,27.949489727550997,1.073911482627686,5,395.5533187794486,9.010174279098747,5,1.4000287376946094,0.05914527825331405,5,73.18210808843082,2.6175400464563188,5
双层,新疆,3个月,不通水,934.760622493524,33.96286903069436,5,22.060148953211353,1.0403872480024774,5,8.424039878159578,0.20374366844314779,5,27.451381178332127,1.3553562677011723,5,373.2131270323644,8.980376218093552,5,1.406381119009915,0.07970333214120885,5,69.35591544229062,2.2799124348553597,5
双层,新疆,3个月,通水,890.2527060358091,32.2346482215513,5,20.79789185401405,0.527648314655627,5,9.536915217567602,0.25785918460127255,5,26.88018343162338,1.1393102043528587,5,379.4867126892889,17.55673932842964,5,1.533754403309676,0.07932346430442459,5,70.10240998156783,4.545275492015841,5
双层,新疆,6个月,不通水,979.7709524471347,21.193100932155428,5,23.013920765303922,0.49039440421632513,5,8.384234040420647,0.1612692416711517,5,26.726931531166144,0.4491940569581243,5,374.70393988256814,15.452876818947077,5,1.4728251931795278,0.05708724091533026,5,69.52211672054045,3.121267578256145,5
双层,陆河,1个月,无,942.1280200811983,44.82986131705068,5,21.202610532352583,0.3161270537341813,5,8.93370652041936,0.1504300858558873,5,29.67629778170623,1.2512206029727613,5,403.51341739316194,8.520351137227609,5,1.4718649200658862,0.029931651571000348,5,77.81163911173796,3.3722679575721646,5
双层,陆河,3个月,不通水,879.0603312265979,24.585572227072447,5,20.467727697747474,0.6281017815044285,5,9.302708446914412,0.3106399708949541,5,28.660181087768898,0.66155873573275,5,393.6958158486717,22.73917254058996,5,1.4863720562297154,0.09889705442462751,5,73.9839891557979,4.043940409513511,5
双层,陆河,3个月,通水,848.1831919933005,37.438153181746955,5,19.66368792698707,0.43902649405145167,5,9.193130768234273,0.22108757758245756,5,27.8910332974492,0.9105965352807851,5,391.52247068378585,11.039262487705061,5,1.3933670125923867,0.05786228025071725,5,71.64791862344126,3.9599620379850973,5
双层,陆河,6个月,不通水,850.8117113399221,45.58527685640578,5,19.721572786346666,0.4569631342834831,5,9.158609816825393,0.4014562963310066,5,26.976000958148575,1.248367234120969,5,383.6052280247982,16.175052652418444,5,1.400856816088135,0.08298775826955596,5,71.08942371447608,3.439321616549131,5
双层,陆河,6个月,通水,850.8117113399221,45.58527685640578,5,19.721572786346666,0.4569631342834831,5,9.158609816825393,0.4014562963310066,5,26.976000958148575,1.248367234120969,5,383.6052280247982,16.175052652418444,5,1.400856816088135,0.08298775826955596,5,71.08942371447608,3.439321616549131,5
