管型,老化地点,老化时长,通水条件,试样编号,Et_MPa,sy_MPa,ey_pct,sb_MPa,断裂伸长率_pct,屈服韧性_MJ_m3,断裂韧性_MJ_m3
单层,原始,0个月,无,PPR单层管原始管_试样 21,1011.7473737312292,23.84422633668017,8.532668461719313,28.502060723074568,393.5976960340432,1.5427970067909376,74.97680774256052
单层,原始,0个月,无,PPR单层管原始管_试样 22,1002.2976931892467,24.013360656133973,8.788191453602217,28.286624820318945,376.3113342048084,1.6046824652880076,72.87076587467162
单层,原始,0个月,无,PPR单层管原始管_试样 23,1081.181683447293,25.078649200273688,9.185234081271464,27.918349053496808,378.5596191485354,1.774312128615771,73.3297375978258
单层,原始,0个月,无,PPR单层管原始管_试样 24,1074.6973044424763,24.979058193294915,8.720143780007579,28.762895439324204,389.7369041141382,1.6595819273938308,75.93541292020834
单层,原始,0个月,无,PPR单层管原始管_试样 25,1072.043008056919,25.204620236358515,9.332934135313462,28.220834193124233,387.65194947692805,1.8025880517570732,75.59693384664055
单层,新疆,1个月,无,PPR单层管新疆老化1个月_试样 26,1099.265145282438,26.268269959523618,12.987589197419647,29.376942541462803,410.1451639136868,2.749812458436019,85.79305384713979
单层,新疆,1个月,无,PPR单层管新疆老化1个月_试样 27,1079.242069856809,25.701339525866747,12.226992109089602,29.84263203431463,413.9484864655535,2.511015284031697,83.50425363456782
单层,新疆,1个月,无,PPR单层管新疆老化1个月_试样 28,1070.1293615835507,25.47872088588708,11.414614122794402,16.50429131795684,349.92244172973665,2.3110194373759128,66.0671324961503
单层,新疆,1个月,无,PPR单层管新疆老化1个月_试样 29,1076.4307055507693,25.733239057971637,10.742137989192171,26.876956117187373,384.9967554189698,2.1814021479346772,75.3556757248049
单层,新疆,1个月,无,PPR单层管新疆老化1个月_试样 30,1073.892506446452,25.679132184676742,10.453590765104135,29.30635812603457,389.8380564127812,2.110410423429054,79.32547713670125
单层,陆河,3个月,不通水,PPR单层管陆河老化3个月 不通水_试样 21,956.6869169699155,24.424001089955016,9.197487071916798,18.12824910137023,306.29527837535966,1.6922828578328482,53.67330455294902
单层,陆河,3个月,不通水,PPR单层管陆河老化3个月 不通水_试样 22,918.7271283295084,23.466086249407102,8.950641732675514,16.00677140348781,308.59652656806463,1.5815237823429138,52.09173435887416
单层,陆河,3个月,不通水,PPR单层管陆河老化3个月 不通水_试样 23,965.1906830708074,24.281907415824737,9.189077572044054,25.259216825147863,393.0552240700753,1.7009390332642629,71.1391215544198
单层,陆河,3个月,不通水,PPR单层管陆河老化3个月 不通水_试样 24,889.1501050139741,22.984268641707924,8.951098699273405,20.457033179808146,323.9067976850661,1.5495791383509965,55.020479993137684
单层,陆河,3个月,不通水,PPR单层管陆河老化3个月 不通水_试样 25,903.9588983308167,23.398778894141085,9.067894650276598,20.696250830470575,362.5171986599561,1.5947712939290484,63.36039897858409
单层,陆河,3个月,通水,PPR单层管陆河老化3个月 通水_试样 16,825.8388218779354,18.69387846384635,9.21802955703688,24.464030451344527,370.51240318600264,1.3403913932920721,61.656171231624086
单层,陆河,3个月,通水,PPR单层管陆河老化3个月 通水_试样 17,856.4537444346281,19.228436556332166,8.7595169634632,24.2917152614528,361.40965022473847,1.2978554824216968,61.22970269770944
单层,陆河,3个月,通水,PPR单层管陆河老化3个月 通水_试样 18,779.7359266087348,19.095940789297398,8.677804390802638,24.8764974570036,371.7551771418581,1.2517256961409995,64.8545395463764
单层,陆河,3个月,通水,PPR单层管陆河老化3个月 通水_试样 19,796.2492258363891,18.891476277493123,9.215149210101139,25.388037831580313,383.5035564561087,1.3478924591405308,66.70254952821756
单层,陆河,3个月,通水,PPR单层管陆河老化3个月 通水_试样 20,790.1719912757328,18.827870418208306,9.15141798499228,25.05946327263201,399.8132300904187,1.3221703336911519,71.31260842849426
单层,陆河,6个月,不通水,PPR单层管陆河老化6个月 不通水_试样 25,1048.8590657100326,24.62848695596549,8.733100672769934,14.58005384260471,274.13234788252254,1.6205931519757446,47.1458779034203
单层,陆河,6个月,不通水,PPR单层管陆河老化6个月 不通水_试样 26,1045.9282705537753,24.443474956525126,8.796002127228252,11.837237538689395,185.94704648924107,1.6315017025651892,31.576687267222137
单层,陆河,6个月,不通水,PPR单层管陆河老化6个月 不通水_试样 27,1021.0321628850927,24.243261226978763,8.778260215414825,18.024863477958498,303.99502509441845,1.6082168889204211,51.4690490911814
单层,陆河,6个月,不通水,PPR单层管陆河老化6个月 不通水_试样 28,987.2615311985967,23.994105503309267,8.791046535284393,21.822997659958023,349.1735690647861,1.6002754727720763,60.505920029291474
单层,陆河,6个月,不通水,PPR单层管陆河老化6个月 不通水_试样 29,961.0216139854688,23.21354854597655,8.437462073175093,14.706035651782951,315.46939910027425,1.464131960786562,51.237343569374104
单层,陆河,6个月,通水,PPR单层管陆河老化6个月 通水_试样 15,946.7353048359096,21.482358788046938,9.31011740755171,26.538191479566418,415.10838443698,1.5656697467471954,74.6154662113175
单层,陆河,6个月,通水,PPR单层管陆河老化6个月 通水_试样 16,904.2354258964671,20.43007010531611,9.260456683534837,25.386281615441227,398.2935333005654,1.4625302667497868,69.1857389405077
单层,陆河,6个月,通水,PPR单层管陆河老化6个月 通水_试样 17,880.2869801167499,19.693464225029118,8.850152539348812,25.755741816697824,403.53395942394525,1.3391251932844204,69.95444545235408
单层,陆河,6个月,通水,PPR单层管陆河老化6个月 通水_试样 18,871.4414246303213,19.47783815929302,9.23233520808419,24.726630859544155,392.38257335097774,1.3912547153191581,67.07000313723455
单层,陆河,6个月,通水,PPR单层管陆河老化6个月 通水_试样 19,944.2928132321102,20.563015832504675,8.608543619485989,26.418341986719703,419.4925791643555,1.3449661566370614,75.55277064760247
双层,原始,0个月,无,PPR双层挤出原始管_试样 31,951.3280947393885,20.843894591123235,8.215669685899606,27.797543766695245,376.95650669378466,1.3102045816027452,69.94715843915442
双层,原始,0个月,无,PPR双层挤出原始管_试样 32,930.2849047479383,20.463724832533206,8.196622793663984,26.705097945979325,368.0930141198478,1.2815395055879955,67.19914145685766
双层,原始,0个月,无,PPR双层挤出原始管_试样 33,897.2006671538229,19.603005403918342,7.732206397986643,26.128970342001434,382.119077890522,1.1414846392379172,66.93745068175207
双层,原始,0个月,无,PPR双层挤出原始管_试样 34,924.2317791082686,20.483333739815546,8.53671014543372,28.085609250180863,404.99502986876143,1.3462875360410052,75.15728063014325
双层,原始,0个月,无,PPR双层挤出原始管_试样 35,907.8949673185961,20.501645943368548,8.465751598726754,28.398271300982984,387.91783293717697,1.330020934819242,72.38289993269582
双层,新疆,1个月,无,PPR双层挤出新疆老化1个月_试样 11,903.8911119085609,20.145358697246643,9.070328135074782,27.81913295953429,382.1584017305717,1.4154831725600243,70.3694848801198
双层,新疆,1个月,无,PPR双层挤出新疆老化1个月_试样 12,897.4544865559496,20.37426704963299,9.202249592690537,28.672480406873337,395.0170307730621,1.4567109864268557,74.15621501610332
双层,新疆,1个月,无,PPR双层挤出新疆老化1个月_试样 13,870.4643621035302,19.261529925982703,9.28710805774811,29.234378968105503,407.41106562163935,1.3959600186622592,76.86654460844387
双层,新疆,1个月,无,PPR双层挤出新疆老化1个月_试样 14,852.2757181823197,19.231000963312283,9.508257999863982,27.585161841155905,397.6544209250742,1.4300562903049685,73.53733941091265
双层,新疆,1个月,无,PPR双层挤出新疆老化1个月_试样 15,841.8433236202815,18.839468285551913,8.92815190155964,26.436294462085964,395.5256748468955,1.3019332205189398,70.98095652657446
双层,陆河,1个月,无,PPR双层挤出陆河老化1个月_试样 21,992.2145222087913,21.390388543936474,8.96350494698213,28.119265853412223,392.596187897237,1.497665512550924,71.94483225426573
双层,陆河,1个月,无,PPR双层挤出陆河老化1个月_试样 22,938.248809193482,20.64364739907267,8.941293489927695,29.78473126747366,411.512876708385,1.4408923310002868,79.07590541881885
双层,陆河,1个月,无,PPR双层挤出陆河老化1个月_试样 23,921.2693242187727,21.282433194319076,9.020526387349088,28.718844975596557,410.37615401768653,1.4930788704417937,79.53721695352908
双层,陆河,1个月,无,PPR双层挤出陆河老化1个月_试样 24,880.6746333611613,21.308122174362357,9.064373403648652,30.965487671216458,406.6560954934859,1.4901112173485325,80.33522336695344
双层,陆河,1个月,无,PPR双层挤出陆河老化1个月_试样 25,978.2328114237839,21.38846135007234,8.67883437418924,30.793159140832227,396.4257728490152,1.437576668987894,78.16501756512274
双层,新疆,3个月,不通水,PPR双层挤出新疆老化3个月 不通水_试样 15,899.1497490110866,20.502763734736913,8.252166762993378,26.12097162595937,382.0394689941795,1.2807987402246865,68.13592051634173
双层,新疆,3个月,不通水,PPR双层挤出新疆老化3个月 不通水_试样 16,929.1764130737946,21.84148587970091,8.547297732590446,28.271672340774096,376.2213939017938,1.414409296795619,69.8228645943812
双层,新疆,3个月,不通水,PPR双层挤出新疆老化3个月 不通水_试样 17,919.8677739163156,21.937660387815843,8.49125521473335,28.452564125952136,377.93050063361045,1.4157846562642875,69.70068831790422
双层,新疆,3个月,不通水,PPR双层挤出新疆老化3个月 不通水_试样 18,990.3714453137497,23.149302507480364,8.173262946474589,28.581013578143857,371.11762815787165,1.4178044311731077,72.63278373758618
双层,新疆,3个月,不通水,PPR双层挤出新疆老化3个月 不通水_试样 19,935.2377311526736,22.869532256322735,8.656216734006122,25.830684220831177,358.75664347436657,1.5031084705918734,66.4873200452398
双层,新疆,3个月,通水,PPR双层挤出新疆老化3个月 通水_试样 10,925.5517096928774,21.122802354853707,9.51499672510491,26.323103391142016,365.67880917777984,1.5605162434478275,66.44692700372954
双层,新疆,3个月,通水,PPR双层挤出新疆老化3个月 通水_试样 11,920.1740351273036,21.089146961503097,9.783982599204819,28.090744332720444,371.11091171418985,1.6116352776364278,69.85538268523348
双层,新疆,3个月,通水,PPR双层挤出新疆老化3个月 通水_试样 12,848.9669472908284,21.064078017887162,9.813375115260625,25.548051430051764,369.6770237139276,1.5909978450372493,67.90760336182169
双层,新疆,3个月,通水,PPR双层挤出新疆老化3个月 通水_试样 13,874.8185185039908,20.837926527777547,9.319329511556901,28.05958511324573,408.97647303882553,1.4844881770088447,77.93691872687361
双层,新疆,3个月,通水,PPR双层挤出新疆老化3个月 通水_试样 14,881.7523195640454,19.875505408048735,9.252892136710757,26.379432890956945,381.99034580172156,1.42113447341803,68.36521813018084
双层,新疆,6个月,不通水,PPR双层挤出新疆老化6个月 不通水_试样 15,958.0834605936576,23.296502012622813,8.633781857810389,26.839817197144793,361.05002670752737,1.5346894294980786,68.33211637448701
双层,新疆,6个月,不通水,PPR双层挤出新疆老化6个月 不通水_试样 16,1012.5275641877056,23.665870762636022,8.357255967098128,26.964800682810708,371.24023577112536,1.5185815488384087,69.6252407980245
双层,新疆,6个月,不通水,PPR双层挤出新疆老化6个月 不通水_试样 17,964.4244418419206,22.718886423682974,8.347341956590252,26.82469712248343,361.56386092732623,1.4507873777719007,65.65163892371926
双层,新疆,6个月,不通水,PPR双层挤出新疆老化6个月 不通水_试样 18,979.8379613637902,22.406481230193233,8.18549426359326,27.062864555356672,381.88567371946664,1.391516838813422,69.73427310025028
双层,新疆,6个月,不通水,PPR双层挤出新疆老化6个月 不通水_试样 19,983.9813342485994,22.981863397384565,8.397296157011203,25.94247809803513,397.7799022873951,1.4685507709758283,74.26731440622123
双层,陆河,3个月,不通水,PPR双层挤出陆河老化3个月 不通水_试样 13,845.3216102037899,20.019234606083998,9.338668982009189,28.751967484067524,391.338904358243,1.4532671490694433,72.82373012518173
双层,陆河,3个月,不通水,PPR双层挤出陆河老化3个月 不通水_试样 14,899.4376234364895,20.92793232858897,9.331988796796086,27.526115784520748,365.1800955113482,1.521518385077027,69.1159476949792
双层,陆河,3个月,不通水,PPR双层挤出陆河老化3个月 不通水_试样 15,898.3047395565754,21.224456311977715,9.56250923422357,29.241683749148017,379.27944477217403,1.5905728075091459,71.74939322143564
双层,陆河,3个月,不通水,PPR双层挤出陆河老化3个月 不通水_试样 16,891.5560390262098,20.469010348607267,9.503172303044852,28.813730843547553,419.18635719395155,1.533972898740173,78.90240617329258
双层,陆河,3个月,不通水,PPR双层挤出陆河老化3个月 不通水_试样 17,860.6816439099254,19.69800489347942,8.777202918498363,28.967407577560664,413.49427740764196,1.3325290407527877,77.3284685641004
双层,陆河,3个月,通水,PPR双层挤出陆河老化3个月 通水_试样 26,852.4672460126823,19.372295366436685,9.108178473365335,27.264058743323773,384.6122595473905,1.3576579292216626,69.72633678923442
双层,陆河,3个月,通水,PPR双层挤出陆河老化3个月 通水_试样 27,804.824224158214,19.520105047303435,9.262134542752191,26.691842357078993,377.01922108781974,1.3896955255539398,66.21781722528765
双层,陆河,3个月,通水,PPR双层挤出陆河老化3个月 通水_试样 28,902.5687032517302,20.17802048863091,9.020866113157378,28.075740554587277,392.81911093908485,1.4059918357779353,72.67517713457582
双层,陆河,3个月,通水,PPR双层挤出陆河老化3个月 通水_试样 29,858.3199843829822,20.06997159669396,9.548152326247756,28.940103010351574,405.14047986689746,1.4828574156779508,76.87074804617708
双层,陆河,3个月,通水,PPR双层挤出陆河老化3个月 通水_试样 30,822.7358021608942,19.178047135870354,9.026322385648697,28.48342182190438,398.0212819777365,1.330632356730445,72.74951392193131
双层,陆河,6个月,不通水,PPR双层挤出陆河老化6个月 不通水_试样 30,903.1413430070019,20.46490037763441,9.25124142513079,26.164854968990294,366.2683308170794,1.4782258430830597,67.02711977997288
双层,陆河,6个月,不通水,PPR双层挤出陆河老化6个月 不通水_试样 31,890.2847860630035,19.3957961148659,8.517358541610468,26.735695108888617,379.71757970837746,1.2688122421732253,70.41771438859814
双层,陆河,6个月,不通水,PPR双层挤出陆河老化6个月 不通水_试样 32,823.8756759596681,19.863053059195224,9.34465767868264,25.80220589626211,393.9610406379235,1.434171968693673,72.75392602633147
双层,陆河,6个月,不通水,PPR双层挤出陆河老化6个月 不通水_试样 33,842.731644402395,19.45471167419997,9.090354285094474,29.000852876675033,405.8404868165357,1.374200009909867,76.00653852622554
双层,陆河,6个月,不通水,PPR双层挤出陆河老化6个月 不通水_试样 34,794.025107267542,19.429402705837834,9.589437153608587,27.176395939926834,372.23870214407486,1.4488740165808494,69.2418198512524
双层,陆河,6个月,通水,PPR双层挤出陆河老化6个月 通水_试样 30,903.1413430070019,20.46490037763441,9.25124142513079,26.164854968990294,366.2683308170794,1.4782258430830597,67.02711977997288
双层,陆河,6个月,通水,PPR双层挤出陆河老化6个月 通水_试样 31,890.2847860630035,19.3957961148659,8.517358541610468,26.735695108888617,379.71757970837746,1.2688122421732253,70.41771438859814
双层,陆河,6个月,通水,PPR双层挤出陆河老化6个月 通水_试样 32,823.8756759596681,19.863053059195224,9.34465767868264,25.80220589626211,393.9610406379235,1.434171968693673,72.75392602633147
双层,陆河,6个月,通水,PPR双层挤出陆河老化6个月 通水_试样 33,842.731644402395,19.45471167419997,9.090354285094474,29.000852876675033,405.8404868165357,1.374200009909867,76.00653852622554
双层,陆河,6个月,通水,PPR双层挤出陆河老化6个月 通水_试样 34,794.025107267542,19.429402705837834,9.589437153608587,27.176395939926834,372.23870214407486,1.4488740165808494,69.2418198512524
